;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
1159;2016-10-15;2016-10-19;5;67,63327758651488;55,0
1160;2016-10-15;2016-10-20;6;59,6194084351628;54,0
1161;2016-10-15;2016-10-21;7;55,27160663276243;54,0
1162;2016-10-22;2016-10-22;1;47,610277360694006;53,0
1163;2016-10-22;2016-10-23;2;47,802394106131;50,0
1164;2016-10-22;2016-10-24;3;47,573359145487764;49,0
1165;2016-10-22;2016-10-25;4;48,710492803948235;49,0
1166;2016-10-22;2016-10-26;5;51,061018314463276;49,0
1167;2016-10-22;2016-10-27;6;48,883402839177585;52,0
1168;2016-10-22;2016-10-28;7;55,659083368705424;54,0
1169;2016-10-29;2016-10-29;1;58,348565109524934;54,0
1170;2016-10-29;2016-10-30;2;55,960618372585806;53,0
1171;2016-10-29;2016-10-31;3;53,49130110603971;53,0
1172;2016-10-29;2016-11-01;4;53,60177851883889;49,0
1173;2016-10-29;2016-11-02;5;54,637935008038966;48,0
1174;2016-10-29;2016-11-03;6;51,558783312688924;46,0
1175;2016-10-29;2016-11-04;7;55,8546395523501;51,0
1176;2016-11-05;2016-11-05;1;55,04572680605527;66,0
1177;2016-11-05;2016-11-06;2;50,15656128773016;80,0
1178;2016-11-05;2016-11-07;3;55,366408000495205;77,0
1179;2016-11-05;2016-11-08;4;58,878182771159416;74,0
1180;2016-11-05;2016-11-09;5;54,07898053090886;79,0
1181;2016-11-05;2016-11-10;6;56,79973024150217;78,0
1182;2016-11-05;2016-11-11;7;57,45467193914215;76,0
1183;2016-11-12;2016-11-12;1;55,01660968071645;86,0
1184;2016-11-12;2016-11-13;2;55,57255002188625;102,0
1185;2016-11-12;2016-11-14;3;62,006853884148576;131,0
1186;2016-11-12;2016-11-15;4;63,197116452588666;203,0
1187;2016-11-12;2016-11-16;5;59,39807521594734;278,0
1188;2016-11-12;2016-11-17;6;75,05009086945601;262,0
1189;2016-11-12;2016-11-18;7;79,36257182236322;204,0
1190;2016-11-19;2016-11-19;1;79,68660765973841;172,0
1191;2016-11-19;2016-11-20;2;76,9933218691498;161,0
1192;2016-11-19;2016-11-21;3;77,97048907987202;142,0
1193;2016-11-19;2016-11-22;4;74,13920659449813;125,0
1194;2016-11-19;2016-11-23;5;85,13624832867227;112,0
1195;2016-11-19;2016-11-24;6;94,49477762467252;100,0
1196;2016-11-19;2016-11-25;7;106,16355104489331;92,0
1197;2016-11-26;2016-11-26;1;134,00753653574998;89,0
1198;2016-11-26;2016-11-27;2;208,29747850500414;85,0
1199;2016-11-26;2016-11-28;3;281,1988770820428;81,0
1200;2016-11-26;2016-11-29;4;256,5520272563663;87,0
1201;2016-11-26;2016-11-30;5;201,43583673609064;112,0
1202;2016-11-26;2016-12-01;6;170,62743035769606;135,0
1203;2016-11-26;2016-12-02;7;161,47711236703418;121,0
1204;2016-12-03;2016-12-03;1;140,00991474155828;99,0
1205;2016-12-03;2016-12-04;2;124,94909581429255;91,0
1206;2016-12-03;2016-12-05;3;113,5829874641604;96,0
1207;2016-12-03;2016-12-06;4;98,49593382320253;115,0
1208;2016-12-03;2016-12-07;5;91,51956178841434;124,0
1209;2016-12-03;2016-12-08;6;87,43692096061946;109,0
