;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
495;2014-07-26;2014-07-31;6;34,43225138891711;38,0
496;2014-07-26;2014-08-01;7;33,05831499138621;37,0
497;2014-07-26;2014-08-02;8;32,571520420796816;37,0
498;2014-07-26;2014-08-03;9;31,691768030999985;36,0
499;2014-07-26;2014-08-04;10;32,366595831908135;35,0
500;2014-08-02;2014-08-02;1;32,53020428569074;37,0
501;2014-08-02;2014-08-03;2;31,584716276332628;36,0
502;2014-08-02;2014-08-04;3;32,573733375770374;35,0
503;2014-08-02;2014-08-05;4;35,32230862085755;34,0
504;2014-08-02;2014-08-06;5;33,75894968073624;33,0
505;2014-08-02;2014-08-07;6;33,414444647452456;32,0
506;2014-08-02;2014-08-08;7;35,37197574231452;32,0
507;2014-08-02;2014-08-09;8;37,39970073083992;31,0
508;2014-08-02;2014-08-10;9;39,33041525806259;31,0
509;2014-08-02;2014-08-11;10;39,44866180040938;30,0
510;2014-08-09;2014-08-09;1;37,46564305378347;31,0
511;2014-08-09;2014-08-10;2;39,50100557560513;31,0
512;2014-08-09;2014-08-11;3;39,321085895832915;30,0
513;2014-08-09;2014-08-12;4;38,369759752532396;30,0
514;2014-08-09;2014-08-13;5;37,52338849787804;30,0
515;2014-08-09;2014-08-14;6;37,474914608425735;29,0
516;2014-08-09;2014-08-15;7;36,48729572371138;29,0
517;2014-08-09;2014-08-16;8;35,35010799495136;29,0
518;2014-08-09;2014-08-17;9;34,359371773139365;31,0
519;2014-08-09;2014-08-18;10;33,01317832580535;34,0
520;2014-08-16;2014-08-16;1;35,18166211620175;29,0
521;2014-08-16;2014-08-17;2;34,053336814197166;31,0
522;2014-08-16;2014-08-18;3;32,97518044962309;34,0
523;2014-08-16;2014-08-19;4;32,58089887450003;37,0
524;2014-08-16;2014-08-20;5;31,89126776038474;38,0
525;2014-08-16;2014-08-21;6;31,42660611922044;37,0
526;2014-08-16;2014-08-22;7;31,5779472184795;35,0
527;2014-08-16;2014-08-23;8;30,676000169904363;34,0
528;2014-08-16;2014-08-24;9;31,308138427653798;33,0
529;2014-08-16;2014-08-25;10;30,048782122951035;32,0
530;2014-08-23;2014-08-23;1;30,617858414928182;34,0
531;2014-08-23;2014-08-24;2;31,14918925989606;33,0
532;2014-08-23;2014-08-25;3;30,27572233934618;32,0
533;2014-08-23;2014-08-26;4;29,59195594988611;31,0
534;2014-08-23;2014-08-27;5;30,293948415085335;30,0
535;2014-08-23;2014-08-28;6;30,55170923613777;30,0
536;2014-08-23;2014-08-29;7;32,49697098132797;29,0
537;2014-08-23;2014-08-30;8;34,54412563435452;29,0
538;2014-08-23;2014-08-31;9;36,928057567401616;29,0
539;2014-08-23;2014-09-01;10;38,21165021250759;29,0
540;2014-08-30;2014-08-30;1;34,57009597310715;29,0
541;2014-08-30;2014-08-31;2;37,011682940578716;29,0
542;2014-08-30;2014-09-01;3;38,10105299723376;29,0
